Clade,Order,Family ,Vascular Variant Category,Vascular Variant Pattern,Morphotype,References,,,,,,,,,,,,,,,,,,,,,
Gymnosperms,Cycadales,Cycadaceae,Ectopic cambia,Ectopic cambia,Successive cambia,De Bary 1884; Carlquist 2007,,,,,,,,,,,,,,,,,,,,,
Gymnosperms,Cycadales,Zamiaceae,Procambial variants,Medullary bundles,NA,"De Bary 1884; Worsdell 1901, 1906",,,,,,,,,,,,,,,,,,,,,
Gymnosperms,Cycadales,Zamiaceae,Ectopic cambia,Ectopic cambia,Successive cambia,Worsdell 1906,,,,,,,,,,,,,,,,,,,,,
Gymnosperms,Ephedrales,Ephedraceae,Cambial variants,Non-cylindrical stem,NA,Cabanillas et al. 2014,,,,,,,,,,,,,,,,,,,,,
Gymnosperms,Gnetales,Gnetaceae,Ectopic cambia,Ectopic cambia,Successive cambia,De Bary 1884; Carlquist 2007,,,,,,,,,,,,,,,,,,,,,
Gymnosperms,Welwitschiales,Welwitschiaceae,Ectopic cambia,Ectopic cambia,Successive cambia,De Bary 1884; Carlquist 2007,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Apiales,Apiaceae,Procambial variants,Medullary bundles,NA,Lambeth 1940,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Apiales,Apiaceae,Cambial variants,Raylessness,NA,Frankiewicz & Oskolski 2023 ,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Apiales,Araliaceae,Procambial variants,Medullary bundles,NA,De Bary 1884,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Arecales,Arecaceae,Ectopic cambia,Monocot cambium,NA,Botânico & Angyalossy 2013,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Asparagales,Asparagaceae,Ectopic cambia,Monocot cambium,NA,Jura-Morawiec et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Brassicales,Brassicaceae,Procambial variants,Medullary bundles,NA,Metcalfe & Chalk 1983,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Brassicales,Brassicaceae,Cambial variants,Raylessness,NA,Frankiewicz & Oskolski 2023 ,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Brassicales,Capparaceae,Cambial variants,Phloem wedges,NA,Acevedo-Rodríguez 2015 onwards,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Asterales,Asteraceae,Procambial variants,Medullary bundles,NA,Haberlandt 1914; Davis 1961; Metcalfe & Chalk 1983,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Asterales,Asteraceae,Cambial variants,Axial vascular elements in segments,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Asterales,Asteraceae,Cambial variants,Phloem wedges,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Asterales,Asteraceae,Procambial variants,Intraxylary phloem,NA,Haberlandt 1914; Davis 1961; Metcalfe & Chalk 1983,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Asterales,Asteraceae,Ectopic cambia,Ectopic cambia,Successive cambia,Carlquist 2007; Schweingruber et al. 2020,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Asterales,Campanulaceae,Procambial variants,Intraxylary phloem,NA,Haberlandt 1914; Metcalfe & Chalk 1983,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Asterales,Goodeniaceae,Procambial variants,Medullary bundles,NA,Metcalfe & Chalk 1983,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Agdestidaceae,Ectopic cambia,Ectopic cambia,Successive cambia,Carlquist 2010,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Aizoaceae,Ectopic cambia,Ectopic cambia,Successive cambia,Carlquist 2010,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Amaranthaceae,Procambial variants,Medullary bundles,NA,De Bary 1884; Metcalfe & Chalk 1983,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Amaranthaceae,Cambial variants,Interxylary phloem,NA,Cunha Neto et al. 2021,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Amaranthaceae,Ectopic cambia,Ectopic cambia,Successive cambia,Carlquist 2010,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Barbeuiaceae,Ectopic cambia,Ectopic cambia,Successive cambia,Carlquist 2010,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Basellaceae,Ectopic cambia,Ectopic cambia,Successive cambia,Carlquist 2010,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Cactaceae,Procambial variants,Medullary bundles,NA,Mauseth 1993,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Caryophyllaceae,Ectopic cambia,Ectopic cambia,Successive cambia,Carlquist 2010,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Caryophyllaceae,Procambial variants,Intraxylary phloem,NA,Carlquist 2001,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Chenopodiaceae,Procambial variants,Medullary bundles,NA,De Bary 1884; Metcalfe & Chalk 1983,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Chenopodiaceae,Ectopic cambia,Ectopic cambia,Successive cambia,Carlquist 2010,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Dioncophyllaceae,Ectopic cambia,Ectopic cambia,Successive cambia,Carlquist 2010,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Droseraceae,Procambial variants,Medullary bundles,NA,DeBuhr 1977,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Frankeniaceae,Ectopic cambia,Ectopic cambia,Successive cambia,Carlquist 2001,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Halophytaceae,Ectopic cambia,Ectopic cambia,Successive cambia,Carlquist 2010,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Nepenthaceae,Procambial variants,Medullary bundles,NA,Schwallier 2017,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Nyctaginaceae,Procambial variants,Medullary bundles,NA,Cunha Neto et al. 2020,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Nyctaginaceae,Cambial variants,Interxylary phloem,NA,Cunha Neto et al. 2021,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Nyctaginaceae,Ectopic cambia,Ectopic cambia,Successive cambia,Cunha Neto et al. 2022,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Petiveriaceae,Procambial variants,Medullary bundles,NA,Cunha Neto et al. 2020,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Petiveriaceae,Ectopic cambia,Ectopic cambia,Successive cambia,Carlquist 2010,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Phytolaccaceae,Ectopic cambia,Ectopic cambia,Successive cambia,Carlquist 2010,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Plumbaginaceae,Procambial variants,Intraxylary phloem,NA,Haberlandt 1914; Carlquist & Boggs 1996,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Polygonaceae,Procambial variants,Intraxylary phloem,NA,Maheshwari 1929; Joshi 1936; Carlquist 2003,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Polygonaceae,Cambial variants,Raylessness,NA,Frankiewicz & Oskolski 2023 ,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Polygonaceae,Ectopic cambia,Ectopic cambia,Successive cambia,Carlquist 2010,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Rhabdodendraceae,Ectopic cambia,Ectopic cambia,Successive cambia,Carlquist 2010,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Sarcobataceae,Ectopic cambia,Ectopic cambia,Successive cambia,Carlquist 2010,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Simmondsiaceae,Ectopic cambia,Ectopic cambia,Successive cambia,Carlquist 2010,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Caryophyllales,Stegnospermataceae,Ectopic cambia,Ectopic cambia,Successive cambia,Carlquist 2010,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Celastrales,Celastraceae,Cambial variants,Non-cylindrical stem,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Celastrales,Celastraceae,Ectopic cambia,Interxylary phloem,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Celastrales,Celastraceae,Ectopic cambia,Ectopic cambia,Successive cambia,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Cucurbitales,Begoniaceae,Procambial variants,Medullary bundles,NA,de Bary 1884; Haberlandt 1914; Metcalfe & Chalk 1983,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Cucurbitales,Begoniaceae,Cambial variants,Axial vascular elements in segments,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Cucurbitales,Begoniaceae,Cambial variants,Non-cylindrical stem,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Cucurbitales,Cucurbitaceae,Procambial variants,Medullary bundles,NA,Haberlandt 1914; Metcalfe & Chalk 1983,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Cucurbitales,Cucurbitaceae,Procambial variants,Bicollateral bundles,NA,"Patil et al., 2011; Carquist 2012",,,,,,,,,,,,,,,,,,,,,
Angiosperms,Cucurbitales,Cucurbitaceae,Cambial variants,Axial vascular elements in segments,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Cucurbitales,Cucurbitaceae,Cambial variants,Interxylary phloem,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Cucurbitales,Cucurbitaceae,Ectopic cambia,Intraxylary phloem,NA,Patil et al. 2011,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Cucurbitales,Cucurbitaceae,Ectopic cambia,Ectopic cambia,Successive cambia,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Dilleniales,Dilleniaceae,Cambial variants,Axial vascular elements in segments,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Dilleniales,Dilleniaceae,Ectopic cambia,Ectopic cambia,Successive cambia,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Ericales,Actinidaceae,Cambial variants,Axial vascular elements in segments,NA,Yang et al. 2020,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Ericales,Marcgraviaceae,Cambial variants,Non-cylindrical stem,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Ericales,Primulaceae,Procambial variants,Medullary bundles,NA,de Bary 1884,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Fabales,Fabaceae,Cambial variants,Non-cylindrical stem,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Fabales,Fabaceae,Cambial variants,Fissured stem,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Fabales,Fabaceae,Cambial variants,Interxylary phloem,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Fabales,Fabaceae,Cambial variants,Phloem wedges,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Fabales,Fabaceae,Procambial variants,Intraxylary phloem,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Fabales,Fabaceae,Ectopic cambia,Ectopic cambia,Successive cambia,"Angyalossy et al. 2015; Nejapa et al., 2022; Rajput et al., 2023",,,,,,,,,,,,,,,,,,,,,
Angiosperms,Fabales,Polygalaceae,Ectopic cambia,Ectopic cambia,Successive cambia,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Fagales,Betulaceae,Procambial variants,Medullary bundles,NA,Metcalfe & Chalk 1983,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Fagales,Casuarinaceae,Procambial variants,Medullary bundles,NA,Philipson and Balfour 1963,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Gentianales,Apocynaceae,Procambial variants,Intraxylary phloem,NA,Patil & Rajput 2008; Gondaliya & Rajput 2017,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Gentianales,Apocynaceae,Cambial variants,Non-cylindrical stem,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Gentianales,Apocynaceae,Cambial variants,Interxylary phloem,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Gentianales,Apocynaceae,Cambial variants,Axial vascular elements in segments,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Gentianales,Apocynaceae,Cambial variants,Phloem wedges,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Gentianales,Apocynaceae,Procambial variants,Intraxylary phloem,NA,Metcalfe & Chalk 1983,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Gentianales,Gelsemiaceae,Cambial variants,Interxylary phloem,NA,Acevedo-Rodríguez 2015 onwards,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Gentianales,Gentianaceae,Procambial variants,Intraxylary phloem,NA,Metcalfe & Chalk 1983; Dalvi et al. 2014,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Gentianales,Gentianaceae,Cambial variants,Interxylary phloem,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Gentianales,Loganiaceae,Procambial variants,Medullary bundles,NA,Metcalfe & Chalk 1983,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Gentianales,Loganiaceae,Cambial variants,Interxylary phloem,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Gentianales,Rubiaceae,Cambial variants,Non-cylindrical stem,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Gentianales,Rubiaceae,Cambial variants,Phloem wedges,NA,Angyalossy et al. 2015,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Gentianales,Rubiaceae,Ectopic cambia,Ectopic cambia,Neoformations,Carlquist 2001; Leal et al. 2020,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Geraniales,Geraniaceae,Procambial variants,Intraxylary phloem,NA,Haberlandt 1914,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Geraniales,Melianthaceae,Procambial variants,Medullary bundles,NA,Metcalfe & Chalk 1983,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Gunnerales,Gunneraceae,Procambial variants,Medullary bundles,NA,de Bary 1884; Metcalfe & Chalk 1983,,,,,,,,,,,,,,,,,,,,,
Angiosperms,Icacinales,Icacinaceae,Procambial variants,Medullary bundles,NA,Metcalfe & Chalk 1983,,,,,,,,,,,,,,,,,,,,,
